episode,seed,steps,score,lines_removed,pieces_placed,task_return,total_reward,termination_reason,terminated,truncated,game_over,horizon_completed,epsilon,last_loss,replay_size,learn_steps
218,217,300,114700,118,300,180.0,180.00000000000003,horizon_completed,True,False,False,True,0.01,0.23256486654281616,20000,43182
219,218,300,112000,117,300,177.0,176.99999999999983,horizon_completed,True,False,False,True,0.01,0.6218867301940918,20000,43482
220,219,300,111200,117,300,180.0,179.99999999999997,horizon_completed,True,False,False,True,0.01,0.1743031144142151,20000,43782
221,220,300,121200,118,300,175.0,175.00000000000009,horizon_completed,True,False,False,True,0.01,0.049988120794296265,20000,44082
222,221,300,121900,120,300,190.0,189.99999999999997,horizon_completed,True,False,False,True,0.01,0.44069552421569824,20000,44382
223,222,300,118300,119,300,186.0,185.99999999999991,horizon_completed,True,False,False,True,0.01,0.1612832248210907,20000,44682
224,223,300,107200,115,300,178.0,177.99999999999994,horizon_completed,True,False,False,True,0.01,0.17350608110427856,20000,44982
225,224,300,115400,119,300,182.0,181.99999999999997,horizon_completed,True,False,False,True,0.01,0.2093593329191208,20000,45282
226,225,300,111500,117,300,177.0,176.9999999999999,horizon_completed,True,False,False,True,0.01,0.07552694529294968,20000,45582
227,226,300,108900,118,300,178.0,178.00000000000003,horizon_completed,True,False,False,True,0.01,0.13961763679981232,20000,45882
228,227,300,111500,119,300,179.0,179.0,horizon_completed,True,False,False,True,0.01,0.9569412469863892,20000,46182
229,228,300,113000,119,300,179.0,178.9999999999998,horizon_completed,True,False,False,True,0.01,0.11303894221782684,20000,46482
230,229,300,117700,119,300,184.0,183.99999999999983,horizon_completed,True,False,False,True,0.01,0.5897278189659119,20000,46782
231,230,300,112700,118,300,179.0,178.99999999999991,horizon_completed,True,False,False,True,0.01,0.17699992656707764,20000,47082
232,231,300,115000,119,300,176.0,175.99999999999997,horizon_completed,True,False,False,True,0.01,0.07611013203859329,20000,47382
233,232,300,117300,119,300,179.0,178.99999999999994,horizon_completed,True,False,False,True,0.01,0.2590417265892029,20000,47682
234,233,300,120200,117,300,188.0,188.0,horizon_completed,True,False,False,True,0.01,0.0677231103181839,20000,47982
235,234,300,109000,117,300,171.0,171.00000000000003,horizon_completed,True,False,False,True,0.01,0.5327964425086975,20000,48282
236,235,300,106000,114,300,173.0,172.99999999999991,horizon_completed,True,False,False,True,0.01,0.0946773886680603,20000,48582
